Timestamp,GX,GY,GZ,AX,AY,AZ,AccelHorFiltered,Velocity,Distance
2025-07-08T21:25:52.880Z,96.9849,0.7324,-247.3145,0.7033,2.3649999999999998,0.1647999999999996,1.564640888485716,0.8820994856596621,0.3836709145976649
2025-07-08T21:25:53.088Z,-401.7334,483.6426,233.1543,0.7521,2.1090999999999998,0.9207000000000001,1.6995500571544155,1.2356058975477806,0.6406769412876032
2025-07-08T21:25:53.312Z,-246.1548,-239.0747,-37.9639,1.8322,0,1.0553999999999997,1.7260800457235324,1.622247827789852,1.00406045471253
2025-07-08T21:25:53.595Z,47.4854,138.6719,53.1006,0.6486000000000001,0,1.6628999999999996,1.5105840365788261,2.0497431101416597,1.5841377548826197
2025-07-08T21:25:53.837Z,177.3071,125,64.8804,1.0881,0,0.08860000000000046,1.4260872292630609,2.3948562196233203,2.1636929600314634
2025-07-08T21:25:54.106Z,-134.4604,-51.1475,12.6343,0.6134,0,-0.593,1.2635497834104485,2.734751111360731,2.8993410089875002
2025-07-08T21:25:54.419Z,-33.7524,69.9463,62.7441,0,0,0.2214999999999998,1.010839826728359,3.0511439771267073,3.8543490738281596
2025-07-08T21:25:54.623Z,-27.832,-149.6582,313.2935,0,0,0.8894000000000002,0.8086718613826872,3.2161130368487756,4.51043613334531
2025-07-08T21:25:54.831Z,-40.5273,26.2451,133.667,2.5744000000000002,0.44510000000000005,-0.3391000000000002,1.1694563641719218,3.4593599605965353,5.229983005149389
2025-07-08T21:25:55.130Z,1.77,37.0483,-160.4004,2.0217,0,0.33860000000000046,1.3399050913375374,3.859991582906459,6.384120488438421
2025-07-08T21:25:55.338Z,-82.5806,-33.6304,-326.5381,0.5041,0,0.024200000000000443,1.1727440730700298,4.103922350105025,7.237736337260266
2025-07-08T21:25:55.646Z,-75.4395,-285.4004,-248.0469,0,0,3.0319999999999996,0.9381952584560239,4.39288648970948,8.590745376090785
2025-07-08T21:25:55.847Z,194.1528,225.9521,281.4941,0,0,-1.0909999999999993,0.7505562067648192,4.543748287269208,9.504038781831897
2025-07-08T21:25:56.105Z,-71.106,98.999,255.6152,2.217,0,-0.6105999999999998,1.0438449654118553,4.813060288345467,10.745808336225027
2025-07-08T21:25:56.361Z,-60.9131,-35.2173,-114.6851,1.6252,0,1.0144000000000002,1.1601159723294843,5.110049977261815,12.05398113040405
2025-07-08T21:25:56.564Z,159.8511,129.5776,-176.3916,0.8498,0,0.7625000000000002,1.0980527778635873,5.332954691168123,13.13657093271118
2025-07-08T21:25:56.871Z,139.8315,-39.7949,-79.5898,0,0.6287,-0.3331999999999997,1.0041822222908698,5.64123863341142,14.868431193168487
2025-07-08T21:25:57.077Z,139.7095,-297.3022,79.2236,0.4884,0.6287,1.0457,0.9625686719151738,5.8395277798259455,16.071373915812632
2025-07-08T21:25:57.312Z,3.9062,1049.9878,280.6396,0,0,0.36209999999999987,0.770054937532139,6.020490690145998,17.48618922799694
2025-07-08T21:25:57.604Z,11.1694,16.3574,11.8408,0,0.115,-0.2746000000000004,0.6390439500257113,6.207091523553506,19.298659952874566
2025-07-08T21:25:57.895Z,18.7988,14.2822,10.2539,0,0.03690000000000001,0.1003999999999996,0.5186151600205692,6.358008535119491,21.148840436594337
2025-07-08T21:25:58.104Z,18.9209,13.1836,13.6719,0,0.15410000000000001,0.14329999999999998,0.4457121280164554,6.45116236987493,22.497133371898197
2025-07-08T21:25:58.417Z,19.8975,16.8457,8.1177,0,0.0994,0.06329999999999991,0.37644970241316433,6.56899112673025,24.553227594564767
2025-07-08T21:25:58.645Z,19.3481,15.2588,6.2866,0,0.04270000000000001,0.13750000000000018,0.3096997619305315,6.639602672450411,26.06705700388346
2025-07-08T21:25:58.817Z,18.6157,15.9302,11.0474,0,0.03690000000000001,0.1628999999999996,0.2551398095444252,6.683486719692052,27.21661671967049
2025-07-08T21:25:59.125Z,18.2495,15.2588,8.4229,0,0.0701,0.10229999999999961,0.2181318476355402,6.750671328763798,29.29582348892974
2025-07-08T21:25:59.333Z,20.3857,15.9302,7.0801,0,0.0525,0.14329999999999998,0.18500547810843218,6.789152468210352,30.707967202317494
2025-07-08T21:25:59.637Z,20.3857,14.8926,8.667,0,0,0.11990000000000034,0.14800438248674574,6.834145800486323,32.785547525665336
2025-07-08T21:25:59.841Z,20.2026,15.7471,9.6436,0,0.03300000000000001,0.08279999999999976,0.1250035059893966,6.859646515708159,34.1849154148698
2025-07-08T21:26:00.153Z,19.043,15.8691,11.2915,0,0.0798,0.09060000000000024,0.1159628047915173,6.8958269108031125,36.33641341104037
2025-07-08T21:26:00.360Z,19.8364,15.686,9.0332,0,0.017300000000000003,0.11399999999999988,0.09623024383321385,6.915746571276587,37.767972951294624
2025-07-08T21:26:00.685Z,19.3481,14.2822,10.1318,0,0.0603,0.13159999999999972,0.08904419506657109,6.944685934673223,40.02499588006342
2025-07-08T21:26:00.874Z,20.5078,16.6626,11.7188,0,0,0.09839999999999982,0.07123535605325687,6.958149416967289,41.340086119870236
2025-07-08T21:26:01.070Z,21.0571,15.8081,8.9111,0,0.029100000000000008,0.07889999999999997,0.0628082848426055,6.9704598407964395,42.70629624866634
2025-07-08T21:26:01.380Z,19.2261,16.7847,10.0708,0,0.017300000000000003,0.11209999999999987,0.0537066278740844,6.987108895437406,44.87230000625193
2025-07-08T21:26:01.582Z,19.2261,14.5874,10.2539,0,0.021300000000000006,0.1394000000000002,0,6.288398005893666,46.142556403442455
2025-07-08T21:26:01.900Z,18.1274,14.8926,9.7046,0,0.03300000000000001,0.09250000000000025,0,5.659558205304299,47.94229591272922
2025-07-08T21:26:02.113Z,20.813,17.8223,11.0474,0,0.03490000000000001,0.10430000000000028,0,5.093602384773869,49.02723322068606
2025-07-08T21:26:02.405Z,19.2261,15.8081,10.376,0,0.0564,0.06329999999999991,0,4.584242146296482,50.36583192740463
2025-07-08T21:26:02.615Z,19.4092,16.0522,9.2773,0,0.025200000000000007,0.1003999999999996,0,4.125817931666834,51.232253693054666
2025-07-08T21:26:02.924Z,19.6533,16.4795,10.1929,0,0.04080000000000001,0.15110000000000046,0,3.7132361385001507,52.37964365985121
2025-07-08T21:26:03.138Z,19.8364,15.1367,9.3994,0,0,0.14139999999999997,0,3.3419125246501356,53.09481294012634
2025-07-08T21:26:03.323Z,17.6392,13.3667,8.5449,0,0,0.09450000000000003,0,3.007721272185122,53.65124137548059
2025-07-08T21:26:03.630Z,19.5923,16.6626,10.0098,0,0.04270000000000001,0.14139999999999997,0,2.70694914496661,54.482274762985334
2025-07-08T21:26:03.845Z,18.8599,16.1133,8.728,0,0.04270000000000001,0.1296999999999997,0,2.4362542304699493,55.00606942253637
2025-07-08T21:26:04.154Z,18.7988,15.3198,10.1929,0,0.0623,0.11010000000000009,0,2.1926288074229543,55.683591724030066
2025-07-08T21:26:04.354Z,18.9209,14.0991,10.5591,0,0,0.10430000000000028,0,1.973365926680659,56.0782649093662
2025-07-08T21:26:04.659Z,18.1885,15.4419,12.085,0,0,0.11789999999999967,0,1.776029334012593,56.61995385624004
2025-07-08T21:26:04.860Z,18.1885,15.3809,10.1318,0,0.029100000000000008,0.11789999999999967,0,1.5984264006113338,56.941237562762915
2025-07-08T21:26:05.070Z,18.6157,16.8457,10.2539,0,0.03490000000000001,0.12769999999999992,0,1.4385837605502005,57.24334015247846
2025-07-08T21:26:05.371Z,20.0806,15.0146,8.667,0,0.029100000000000008,0.09450000000000003,0,1.2947253844951805,57.63305249321151
2025-07-08T21:26:05.575Z,18.0054,16.0522,9.5825,0,0.03880000000000001,0.1296999999999997,0,1.1652528460456624,57.87076407380482
2025-07-08T21:26:05.883Z,20.5688,16.7236,10.7422,0,0.03300000000000001,0.11399999999999988,0,1.0487275614410962,58.19377216272868
2025-07-08T21:26:06.088Z,20.0195,16.6016,9.7656,0,0.0525,0.13750000000000018,0,0.9438548052969866,58.38726239781456
2025-07-08T21:26:06.402Z,19.5923,16.9678,10.9863,0,0.0603,0.10820000000000007,0,0.849469324767288,58.653995765791485
2025-07-08T21:26:06.601Z,18.4937,15.3809,10.5591,0,0.0974,0.1257999999999999,0,0.7645223922905592,58.80613572185731
2025-07-08T21:26:06.822Z,19.5923,16.4185,10.2539,0,0.021300000000000006,0.1726000000000001,0,0.6880701530615033,58.9581992256839
2025-07-08T21:26:07.114Z,18.0054,16.2354,10.9863,0,0.0564,0.1687000000000003,0,0.619263137755353,59.139024061908465
2025-07-08T21:26:07.317Z,18.3716,15.9912,10.498,0,0.04660000000000001,0.16089999999999982,0,0.5573368239798178,59.25216343717637
2025-07-08T21:26:07.628Z,19.5313,17.2119,11.7188,0,0.1072,-0.012900000000000134,0,0.501603141581836,59.40816201420832
